row_id,catalogue_id,catalogue_z,r,z_equals_r,catalogue_mu_record,catalogue_luminosity_record,catalogue_scale_record,D_record,T_record,mu_derivative_recovered,gamma_recovered,gamma_finite_status,gamma_clip_status,robust_subset_status,gamma_difference_from_extracted_record
977,1112,0.25609,0.25609,True,40.5593,1293.7787092400958,73.23,0.2515982251243717,0.2569975521430773,0.082912607552,-0.027546590527168367,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.41358075052716836
978,17340,0.25625,0.25625,True,40.3729,1187.3533994791308,73.23,0.23087252696453278,0.23583020660978854,0.082912607552,0.6947636828621746,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.3087295228621746
979,9457,0.25672,0.25672,True,40.5023,1260.2595583539505,73.23,0.24495697177359238,0.25022684697072334,0.082912607552,0.20389217322886402,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.182141986771136
980,19207,0.25721,0.25721,True,40.5776,1304.7280522036751,73.23,0.2535014830533922,0.2589657011950381,0.082912607552,-0.05259757303744954,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.43863173303744957
981,18325,0.25723,0.25723,True,40.4941,1255.5094907045927,73.23,0.2439347067400788,0.2491931264817044,0.082912607552,0.2534279454275318,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.13260621457246824
982,8046,0.2576,0.2576,True,40.6088,1323.6098791988356,73.23,0.25709036598341367,0.2626404349890473,0.082912607552,-0.14804213972125682,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.5340762997212568
983,6108,0.258,0.258,True,40.528,1275.2637064597302,73.23,0.2476211237079567,0.25297516042383106,0.082912607552,0.15498934879009044,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.23104481120990958
984,550041,0.25847,0.25847,True,40.4663,1239.5384415560554,73.23,0.2405943720226693,0.24580605569730252,0.082912607552,0.405385537894269,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.019351377894268995
985,1297026,0.25855,0.25855,True,40.51,1264.7363474711497,73.23,0.24546968043350925,0.25078863506547583,0.082912607552,0.24183982256913686,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.14419433743086316
986,1303883,0.25911,0.25911,True,40.5418,1283.393986441327,73.23,0.24898011204663464,0.25438694357381875,0.082912607552,0.14419069346181754,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.24184346653818248
987,1289664,0.25908,0.25908,True,40.2879,1141.773607719717,73.23,0.22151085113129357,0.22632059951400507,0.082912607552,1.1688738879915106,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.7828397279915106
988,1335694,0.25912,0.25912,True,40.4255,1216.4660700648528,73.23,0.2359941344347784,0.2411191634639449,0.082912607552,0.5902167318716899,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.20418257187168987
989,12972,0.25935,0.25935,True,40.5238,1272.7995116275185,73.23,0.24687771250993562,0.2522439078607033,0.082912607552,0.21926820216318346,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.16676595783681655
990,1330426,0.25954,0.25954,True,40.442,1225.7446320498061,73.23,0.23771487962716378,0.24288573560874896,0.082912607552,0.5401926529757116,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.1541584929757116
991,020176,0.26051,0.26051,True,40.5033,1260.8400629842986,73.23,0.24433294844567893,0.24966784172688003,0.082912607552,0.3381522933760769,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.04788186662392313
992,370498,0.26086,0.26086,True,40.6128,1326.050305726083,73.23,0.2568984381899567,0.26251531087037305,0.082912607552,-0.04824271262656083,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.43427687262656084
993,15440,0.2613,0.2613,True,40.447,1228.5702652493894,73.23,0.23793040041595934,0.24314142259261592,0.082912607552,0.5855159078538775,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.1994817478538775
994,1337649,0.26151,0.26151,True,40.4182,1212.3834520368537,73.23,0.23475650417346167,0.23990219045750014,0.082912607552,0.7089248955511093,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.32289073555110925
995,2017,0.26162,0.26162,True,40.6874,1372.397758299876,73.23,0.2657172603972794,0.2715440597837267,0.082912607552,-0.2759424744570542,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.6619766344570542
996,19702,0.26162,0.26162,True,40.681,1368.3588330503062,73.23,0.2649352625065261,0.2707449137979523,0.082912607552,-0.25472089413907073,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.6407550541390707
997,1253,0.26166,0.26166,True,40.392,1197.843277825857,73.23,0.23191348220265054,0.23699979910239136,0.082912607552,0.8219909171521257,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.4359567571521257
998,13655,0.26173,0.26173,True,40.6935,1376.258454802492,73.23,0.26644151956907625,0.2722866842716036,0.082912607552,-0.2923839900239932,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.6784181500239932
999,18945,0.26187,0.26187,True,40.7216,1394.1836970883612,73.23,0.2698818731400547,0.2758057134095412,0.082912607552,-0.3792843858299686,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.7653185458299686
1000,13956,0.2629,0.2629,True,41.2641,1789.8638637880792,73.23,0.34619386548482695,0.35382295026959043,0.082912607552,-1.7711263936626511,FINITE,CLIP_RETAINED,ROBUST_EXCLUDED,-2.157160553662651
1001,520019,0.26309,0.26309,True,40.6388,1342.023126793251,73.23,0.2595338650424105,0.26525739942304105,0.082912607552,-0.06194544552471474,FINITE,CLIP_RETAINED,ROBUST_RETAINED,-0.4479796055247148
1002,04D3ez,0.26348,0.26348,True,40.3997,1202.0983471206973,73.23,0.23240205260209418,0.23753492634833248,0.082912607552,0.8582461088290942,FINITE,CLIP_RETAINED,ROBUST_RETAINED,0.47221194882909423
