row_id,r,sigma_prime,sigma_second,Q_sqrt_negative_sigma_second,mu_recovered,gamma_recovered,mu_difference_from_extracted_record,gamma_difference_from_extracted_record,recovery_error,finite_status
69,0.3100000000000000000000000000000000000000,0.2618621535122429256141283216572218161619,-0.1188696358669057996532308941368619759768,0.3447747610642429256141283216572218161619,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
70,0.3150000000000000000000000000000000000000,0.2612688281509567505988648757339055741246,-0.1184608606825485518222570378148993111422,0.3441814357029567505988648757339055741246,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,0.0,6.050924866952059801278172864509924761828e-122,FINITE
71,0.3200000000000000000000000000000000000000,0.2606775413971631719128588597953145519951,-0.1180541904549081343282879643960460151640,0.3435901489491631719128588597953145519951,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
72,0.3250000000000000000000000000000000000000,0.2600882827621994151300308555666102443405,-0.1176496107563334581528813708416709987027,0.3430008903141994151300308555666102443405,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
73,0.3300000000000000000000000000000000000000,0.2595010418292319317787076628858573154639,-0.1172471072825732348966704885137417613820,0.3424136493812319317787076628858573154639,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
74,0.3350000000000000000000000000000000000000,0.2589158082526425675787105898889530304142,-0.1168466658515116126813717189305715193235,0.3418284158046425675787105898889530304142,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
75,0.3400000000000000000000000000000000000000,0.2583325717574210146923437619272757963368,-0.1164482724019189001858423182700528423902,0.3412451793094210146923437619272757963368,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
76,0.3450000000000000000000000000000000000000,0.2577513221385634730634920198503734297405,-0.1160519129922171733922676262142606778606,0.3406639296905634730634920198503734297405,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
77,0.3500000000000000000000000000000000000000,0.2571720492604774469382824472690163436178,-0.1156575737992605627596476804039926950032,0.3400846568124774469382824472690163436178,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
78,0.3550000000000000000000000000000000000000,0.2565947430563926036644361908790449222958,-0.1152652411171300216295676010124691610333,0.3395073506083926036644361908790449222958,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
79,0.3600000000000000000000000000000000000000,0.2560193935277776228548019076947916805944,-0.1148749013559423797047671551755890948486,0.3389320010797776228548019076947916805944,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,0.0,1.210184973390411960255634572901984952366e-122,FINITE
80,0.3650000000000000000000000000000000000000,0.2554459907437629649738778670171558023075,-0.1144865410406734884252445748644498644271,0.3383585982957629649738778670171558023075,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,1.210184973390411960255634572901984952366e-122,4.840739893561647841022538291607939809463e-122,4.989720471823966390447213452878918686828e-122,FINITE
81,0.3700000000000000000000000000000000000000,0.2548745248405694893646506206645624826848,-0.1141001468099952680004904746526275268904,0.3377871323925694893646506206645624826848,0.08291260755200000000000000000000000000000,0.3860341600000000000000000000000000000000,6.050924866952059801278172864509924761828e-122,4.840739893561647841022538291607939809463e-122,7.748964734893173862267352925130106812994e-122,FINITE
