tracer,q_bin_left,q_bin_right,q_bin_center,retained_data_count,retained_random_count,existing_selection_corrected_weight,empirical_q_mass,empirical_q_density,fixed_rho_q_support_density,fixed_rho_q_support_bin_mass,empirical_minus_fixed_q_density,empirical_minus_fixed_q_bin_mass,cumulative_empirical_q_mass,cumulative_fixed_q_mass,cumulative_q_residual,opening_branch,outer_exp_readout
ELG,31.866626775694435,32.30314104579231,32.08488391074337,118.0,1480.0,0.07972972972972973,0.0055583359649218735,0.012733457633986634,0.013812721925174737,0.0060294502292325474,-0.001079264291188103,-0.00047111426431067395,0.38866463728363904,0.7849524717912263,-0.39628783450758726,13.385861209181334,0.06993133911801508
ELG,32.30314104579231,32.73965531589019,32.521398180841246,98.0,1263.0,0.07759303246239113,0.005409376708350232,0.012392210470318124,0.013489451592011006,0.00588833811570738,-0.001097241121692882,-0.000478961407357148,0.39407401399198927,0.7908408099069336,-0.39676679591494435,13.554370628766579,0.0674456005093528
ELG,32.73965531589019,33.17616958598806,32.957912450939126,105.0,1073.0,0.097856477166822,0.0068220371281916626,0.015628440111848003,0.013171710764549741,0.005749639710327736,0.0024567293472982626,0.0010723974178639267,0.40089605112018095,0.7965904496172613,-0.3956943984970804,13.722880048351827,0.06504821851602954
ELG,33.17616958598806,33.612683856085944,33.39442672103701,79.0,975.0,0.08102564102564103,0.00564868006100535,0.012940424741987772,0.012859514790142284,0.005613361712431862,8.090995184548838e-05,3.531834857348811e-05,0.4065447311811863,0.8022038113296932,-0.3956590801485069,13.891389467937076,0.06273605246531047
ELG,33.612683856085944,34.04919812618382,33.83094099113488,61.0,834.0,0.07314148681055156,0.005099038439551546,0.011681264024674974,0.012552870938683193,0.005479507295432105,-0.0008716069140082185,-0.0003804688558805584,0.41164376962073784,0.8076833186251253,-0.3960395490043875,14.059898887522321,0.060506073320982734
ELG,34.04919812618382,34.48571239628169,34.267455261232755,56.0,707.0,0.07920792079207921,0.005521958199754572,0.01265012069025019,0.012251778957452117,0.005348076349012699,0.0003983417327980722,0.00017388185074187264,0.41716572782049244,0.813031394974138,-0.3958656671536456,14.228408307107568,0.05835535971518865
ELG,34.48571239628169,34.92222666637957,34.70396953133063,59.0,543.0,0.10865561694290976,0.007574896158457065,0.017353146683517416,0.011956231596714708,0.0052190657085611405,0.005396915086802708,0.002355830449895925,0.4247406239789495,0.8182504606826991,-0.3935098367037496,14.396917726692813,0.056281094121309126
ELG,34.92222666637957,35.358740936477446,35.14048380142851,39.0,506.0,0.07707509881422925,0.0053732691079133536,0.01230949244043861,0.011666215107470342,0.0050924693724422035,0.0006432773329682669,0.0002807997354711501,0.4301138930868629,0.8233429300551414,-0.3932290369682785,14.565427146278061,0.054280559162883664
ELG,35.358740936477446,35.79525520657533,35.57699807152639,29.0,414.0,0.07004830917874397,0.004883398420012422,0.011187259511395594,0.011381709712646964,0.0049682787076820506,-0.00019445020125137026,-8.488028766962842e-05,0.43499729150687527,0.8283112087628234,-0.3933139172559481,14.73393656586331,0.052351134053731145
ELG,35.79525520657533,36.2317694766732,36.01351234162426,19.0,360.0,0.05277777777777778,0.0036793881199059107,0.008429021390482678,0.011102690053012334,0.004846482644613601,-0.0026736686625296567,-0.0011670945247076905,0.4386766796267812,0.833157691407437,-0.3944810117806558,14.902445985448557,0.05049029116460805
ELG,36.2317694766732,36.668283746771074,36.45002661172214,19.0,293.0,0.06484641638225255,0.0045207499084168185,0.010356476793767113,0.010829125609006887,0.004727067861013833,-0.0004726488152397741,-0.00020631795259701442,0.44319742953519803,0.8378847592684509,-0.3946873297332528,15.070955405033802,0.04869559271190628
ELG,36.668283746771074,37.104798016868955,36.88654088182001,21.0,261.0,0.08045977011494253,0.005609230527624256,0.01285005075863037,0.010560981099630783,0.004610018956222846,0.002289069658999587,0.0009992115714014095,0.44880666006282227,0.8424947782246737,-0.3936881181618514,15.239464824619048,0.04696468756405253
ELG,37.104798016868955,37.54131228696683,37.32305515191789,14.0,216.0,0.06481481481481481,0.004518546813919539,0.010351429777785746,0.01029821685950483,0.004495318615736368,5.321291828091525e-05,2.32281981831714e-05,0.4533252068767418,0.84699009684041,-0.3936648899636682,15.407974244204297,0.04529530816142568
ELG,37.54131228696683,37.97782655706471,37.75956942201577,19.0,172.0,0.11046511627906977,0.00770104490212865,0.017642137794033227,0.010040789195130653,0.004382947766719145,0.007601348598902574,0.0033180971354095055,0.46102625177887047,0.8513730446071291,-0.3903467928282587,15.576483663789546,0.04368526754575688
ELG,37.97782655706471,38.41434082716258,38.196083692113646,15.0,144.0,0.10416666666666667,0.007261950236656403,0.016636226428584235,0.009788650721375948,0.0042728857248844464,0.0068475757072082866,0.002989064511771957,0.46828820201552684,0.8556459303320136,-0.3873577283164868,15.74499308337479,0.042132456495120874
ELG,38.41434082716258,38.85085509726046,38.63259796221152,10.0,139.0,0.07194244604316546,0.005015447645460537,0.011489767893122923,0.009541750679114778,0.004165110333149678,0.0019480172140081443,0.0008503373123108591,0.47330364966098737,0.8598110406651633,-0.38650739100417597,15.913502502960036,0.04063484076076515
ELG,38.85085509726046,39.28736936735834,39.069112232309394,6.0,110.0,0.05454545454545454,0.003802621214830989,0.008711333111694875,0.009300035234963207,0.004059598092474538,-0.0005887021232683313,-0.0002569768776435489,0.47710627087581836,0.8638706387576379,-0.38676436788181956,16.082011922545284,0.039190458402157395
ELG,39.28736936735834,39.72388363745621,39.505626502407274,4.0,90.0,0.044444444444444446,0.0030984321009733984,0.00709812327619594,0.009063447763960751,0.0039563242852555325,-0.0019653244877648112,-0.0008578921842821341,0.48020470297679174,0.8678269630428934,-0.3876222600661017,16.250521342130533,0.037797417216759575
ELG,39.72388363745621,40.16039790755409,39.942140772505155,3.0,94.0,0.031914893617021274,0.002224937944847919,0.005097056607906575,0.008831929116043222,0.0038552630916458288,-0.0037348725081366475,-0.00163032514679791,0.48242964092163965,0.8716822261345393,-0.3892525852128996,16.41903076171578,0.036453892261161906
ELG,40.16039790755409,40.596912177651966,40.37865504260303,9.0,90.0,0.1,0.006971472227190147,0.015970777371440866,0.008605417867100161,0.003756387699144428,0.007365359504340705,0.003215084528045719,0.4894011131488298,0.8754386138336837,-0.38603750068485393,16.587540181301023,0.03515812346032908
ELG,40.596912177651966,41.03342644774984,40.8151693127009,6.0,79.0,0.0759493670886076,0.005294789033308972,0.012129704332739896,0.008383850555372569,0.00365967040578811,0.003745853777367327,0.0016351186275208622,0.49469590218213877,0.8790982842394718,-0.384402382057333,16.75604960088627,0.03390841330182675
ELG,41.03342644774984,41.46994071784772,41.251683582798776,13.0,83.0,0.1566265060240964,0.01091917336788818,0.025014470581774438,0.00816716190391842,0.0035650827172601673,0.01684730867785602,0.007354090650628014,0.5056150755500269,0.882663366956732,-0.37704829140670504,16.924559020471516,0.03270312461200793
ELG,41.46994071784772,41.906454987945594,41.68819785289666,12.0,91.0,0.13186813186813187,0.009193150189701292,0.021060365764537403,0.007955285029839429,0.0034725954382209,0.013105080734697974,0.005720554751480392,0.5148082257397282,0.8861359623949528,-0.37132773665522467,17.093068440056765,0.03154067841124555
ELG,41.906454987945594,42.342969258043475,42.12471212299454,12.0,81.0,0.14814814814814814,0.010328107003244661,0.023660410920652745,0.007748151640924698,0.003382178758145942,0.015912259279728048,0.00694592824509872,0.5251363327429729,0.8895181411530988,-0.3643818084101259,17.261577859642014,0.030419551845401797
ELG,42.342969258043475,42.77948352814135,42.56122639309241,8.0,111.0,0.07207207207207207,0.0050244844880649705,0.011510470177615037,0.007545692220344243,0.0032938023319467715,0.003964777957270794,0.001730682156118199,0.5301608172310378,0.8928119434850456,-0.36265112625400775,17.43008727922726,0.029338276190824224
ELG,42.77948352814135,43.21599779823922,42.997740663190285,9.0,133.0,0.06766917293233082,0.0047175375973467154,0.010807292958117878,0.0073478361999963614,0.0032074353556401456,0.0034594567581215166,0.0015101022417065698,0.5348783548283845,0.8960193788406857,-0.3611410240123012,17.598596698812504,0.02829543493025494
ELG,43.21599779823922,43.6525120683371,43.43425493328816,20.0,136.0,0.14705882352941177,0.01025216503998551,0.023486437310942066,0.007154512123072707,0.0031230466373095224,0.01633192518786936,0.007129118402675988,0.54513051986837,0.8991424254779953,-0.35401190560962525,17.767106118397752,0.0272896618971327
ELG,43.6525120683371,44.08902633843498,43.87076920338604,15.0,129.0,0.11627906976744186,0.008106363054872263,0.01857067136214054,0.006965647796401317,0.003040604663604983,0.011605023565739224,0.00506575839126728,0.5532368829232422,0.9021830301416003,-0.34894614721835804,17.935615537983,0.02631963948585632
ELG,44.08902633843498,44.52554060853286,44.30728347348392,18.0,82.0,0.21951219512195122,0.015303231718222272,0.035057803986089126,0.006781170433079033,0.0029600776620048244,0.02827663355301009,0.012343154056217448,0.5685401146414645,0.9051431078036051,-0.3366029931621406,18.10412495756825,0.025384096925665133
ELG,44.52554060853286,44.96205487863073,44.743797743581794,8.0,97.0,0.08247422680412371,0.005749667816239296,0.013171775151703804,0.00660100678589165,0.002881433659054605,0.006570768365812154,0.002868234157184691,0.5742897824577038,0.9080245414626597,-0.33373475900495586,18.272634377153494,0.024481808615875057
ELG,44.96205487863073,45.398569148728605,45.18031201367967,7.0,61.0,0.11475409836065574,0.008000050096775579,0.0183271215737846,0.006425083272007292,0.0028046405347983213,0.011902038301777308,0.005195409561977258,0.5822898325544794,0.910829181997458,-0.3285393494429786,18.44114379673874,0.02361159252028932
ELG,45.398569148728605,45.835083418826486,45.61682628377754,3.0,57.0,0.05263157894736842,0.0036691959090474455,0.008405672300758213,0.00625332608937676,0.002729666073588332,0.0021523462113814526,0.0009395298354591135,0.5859590284635269,0.9135588480710464,-0.3275998196075195,18.609653216323984,0.02277230861868068
ELG,45.835083418826486,46.27159768892436,46.05334055387542,2.0,42.0,0.047619047619047616,0.003319748679614355,0.007605132081638506,0.006085661325293088,0.002656478011473171,0.0015194707563454188,0.0006632706681411844,0.5892787771431413,0.9162153260825195,-0.3269365489393783,18.778162635909233,0.021962857413316224
ELG,46.27159768892436,46.70811195902224,46.4898548239733,2.0,31.0,0.06451612903225806,0.00449772401754203,0.010303727336413293,0.005922015057500899,0.0025850440803336645,0.004381712278912394,0.0019126799372083656,0.5937765011606833,0.9188003701628532,-0.32502386900216995,18.94667205549448,0.02118217848856843
ELG,46.70811195902224,47.144626229120114,46.92636909407118,4.0,38.0,0.10526315789473684,0.007338391818094891,0.0168113446015167,0.005762313448265595,0.0025153320489448177,0.011049031153251105,0.004823059769150073,0.6011148929787782,0.921315702211798,-0.32020080923301986,19.11518147507973,0.020429249121725442
ELG,47.144626229120114,47.58114049921799,47.36288336416905,3.0,38.0,0.07894736842105263,0.005503793863571168,0.012608508451137522,0.005606482831760892,0.002447309761122366,0.00700202561937663,0.0030564841024488015,0.6066186868423493,0.9237630119729204,-0.3171443251305711,19.283690894664975,0.019703082943180596
ELG,47.58114049921799,48.01765476931587,47.799397634266924,3.0,36.0,0.08333333333333333,0.005809560189325122,0.013308981142867169,0.005454449795143966,0.002380945171112804,0.007854531347723202,0.003428615018212318,0.6124282470316744,0.9261439571440332,-0.31371571011235877,19.45220031425022,0.019002728644246233
ELG,48.01765476931587,48.45416903941374,48.235911904364805,0.0,45.0,0.0,0.0,0.0,0.005306141253640326,0.0023162063763690235,-0.005306141253640326,-0.0023162063763690235,0.6124282470316744,0.9284601635204022,-0.31603191648872775,19.62070973383547,0.018327268730898634
ELG,48.45416903941374,48.89068330951162,48.672426174462686,5.0,32.0,0.15625,0.010892925354984604,0.024954339642875942,0.005161484519981938,0.002253061647861426,0.019792855122894006,0.008639863707123177,0.6233211723866591,0.9307132251682636,-0.30739205278160453,19.789219153420717,0.01767581832182176
ELG,48.89068330951162,49.327197579609496,49.10894044456056,6.0,34.0,0.17647058823529413,0.012302598047982612,0.028183724773130938,0.0050204073684844775,0.0021914794580479885,0.02316331740464646,0.010111118589934624,0.6356237704346417,0.9329047046263116,-0.2972809341916699,19.957728573005962,0.01704752398917493
ELG,49.327197579609496,49.76371184970737,49.54545471465843,1.0,43.0,0.023255813953488372,0.0016212726109744527,0.003714134272428108,0.004882838094075374,0.0021314285066414045,-0.001168703821647266,-0.0005101558956669518,0.6372450430456161,0.935036133132953,-0.29779109008733684,20.126237992591207,0.016441562640565906
ELG,49.76371184970737,50.20022611980525,49.98196898475631,6.0,37.0,0.16216216216216217,0.011305090098146184,0.025898557899633412,0.004748705566536698,0.0020728777442865103,0.021149852333096714,0.009232212353859674,0.6485501331437623,0.9371090108772395,-0.2885588777334772,20.294747412176456,0.015857140440764708
ELG,50.20022611980525,50.636740389903125,50.41848325485419,3.0,42.0,0.07142857142857142,0.004979623019421533,0.011407698122457758,0.004617939280234829,0.0020157963942680065,0.006789758842222929,0.0029638266251535263,0.6535297561631839,0.9391248072715075,-0.2855950511083236,20.463256831761704,0.01529349177174565
ELG,50.636740389903125,51.073254660001005,50.85499752495207,1.0,43.0,0.023255813953488372,0.0016212726109744527,0.0037141342724280476,0.00449046939959279,0.0019601539723601157,-0.0007763351271647422,-0.000338881361385663,0.6551510287741583,0.9410849612438676,-0.28593393246970933,20.631766251346953,0.014749878229695033
ELG,51.073254660001005,51.50976893009888,51.29151179504994,4.0,26.0,0.15384615384615385,0.010725341887984841,0.024570426725293637,0.0043662268005342135,0.0019059203049169666,0.020204199924759424,0.008819421583067874,0.6658763706621431,0.9429908815487846,-0.2771145108866415,20.800275670932198,0.01422558765767058
ELG,51.50976893009888,51.94628320019675,51.728026065147816,4.0,28.0,0.14285714285714285,0.009959246038843066,0.022815396244915517,0.004245143108140529,0.001853065545310982,0.01857025313677499,0.008106180493532084,0.6758356167009861,0.9448439470940956,-0.26900833039310945,20.968785090517443,0.01371993321264549
ELG,51.94628320019675,52.38279747029463,52.16454033524569,2.0,47.0,0.0425531914893617,0.002966583926463892,0.006796075477208768,0.004127150730727217,0.0018015601888073263,0.0026689247464815507,0.0011650237376565659,0.67880220062745,0.9466455072829029,-0.26784330665545286,21.137294510102688,0.013232252465714746
ELG,52.38279747029463,52.81931174039251,52.60105460534357,0.0,49.0,0.0,0.0,0.0,0.0040121828905548785,0.00175137508596974,-0.0040121828905548785,-0.00175137508596974,0.67880220062745,0.9483968823688727,-0.26959468174142265,21.305803929687936,0.012761906534284979
ELG,52.81931174039251,53.25582601049039,53.03756887544145,1.0,41.0,0.024390243902439025,0.0017003590798024748,0.0038953115540099033,0.003900173651364455,0.0017024814546803416,-4.862097354551512e-06,-2.122374877866831e-06,0.6805025597072525,0.950099363823553,-0.2695968041163005,21.474313349273185,0.012308279245110987
ELG,53.25582601049039,53.69234028058826,53.474083145539325,4.0,48.0,0.08333333333333333,0.005809560189325122,0.013308981142867386,0.0037910579429283006,0.0016548508908560936,0.009517923199939085,0.0041547092984690285,0.6863121198965776,0.951754214714409,-0.26544209481783143,21.642822768858434,0.011870776327082545
ELG,53.69234028058826,54.128854550686135,53.9105974156372,5.0,57.0,0.08771929824561403,0.006115326515079076,0.014009453834597249,0.0036847715827927254,0.0016084553779401533,0.010324682251804523,0.004506871137138923,0.6924274464116567,0.9533626700923492,-0.26093522368069255,21.81133218844368,0.01144882463270377
ELG,54.128854550686135,54.565368820784016,54.34711168573507,2.0,43.0,0.046511627906976744,0.0032425452219489053,0.007428268544856095,0.0035812512953788977,0.0015632672952394097,0.0038470172494771975,0.0016792779267094957,0.6956699916336055,0.9549259373875886,-0.25925594575398303,21.979841608028924,0.011041871387245552
ELG,54.565368820784016,55.00188309088189,54.78362595583295,1.0,41.0,0.024390243902439025,0.0017003590798024748,0.0038953115540099666,0.0034804347286062354,0.001519259425180842,0.00041487682540373126,0.00018109965462163283,0.697370350713408,0.9564451968127694,-0.2590748460993614,22.148351027614172,0.010649383464587004
ELG,55.00188309088189,55.43839736097977,55.220140225930834,6.0,33.0,0.18181818181818182,0.01267540404943663,0.029037777038982915,0.0033822604681879027,0.001476404959551959,0.02565551657079501,0.01119899908988467,0.7100457547628447,0.9579216017723213,-0.24787584700947662,22.31686044719942,0.010270846688797533
ELG,55.43839736097977,55.874911631077644,55.65665449602871,5.0,45.0,0.1111111111111111,0.007746080252433496,0.017745308190489847,0.003286668049741209,0.0014346775047867858,0.014458640140748638,0.00631140274764671,0.7177918350152782,0.9593562792771081,-0.24156444426182988,22.485369866784666,0.00990576516054437
ELG,55.874911631077644,56.31142590117552,56.09316876612658,1.0,38.0,0.02631578947368421,0.0018345979545237227,0.004202836150379175,0.003193597968854667,0.0013940510863606468,0.001009238181524508,0.00044054686816307593,0.7196264329698019,0.9607503303634687,-0.2411238973936668,22.65387928636991,0.009553660607443318
